path,label,sample_id
Student/Machine 1/Abnormal/10.wav,Machine 1__Abnormal,10
Student/Machine 1/Abnormal/2.wav,Machine 1__Abnormal,2
Student/Machine 1/Abnormal/3.wav,Machine 1__Abnormal,3
Student/Machine 1/Abnormal/4.wav,Machine 1__Abnormal,4
Student/Machine 1/Abnormal/5.wav,Machine 1__Abnormal,5
Student/Machine 1/Abnormal/6.wav,Machine 1__Abnormal,6
Student/Machine 1/Abnormal/7.wav,Machine 1__Abnormal,7
Student/Machine 1/Abnormal/8.wav,Machine 1__Abnormal,8
Student/Machine 1/Abnormal/9.wav,Machine 1__Abnormal,9
Student/Machine 1/Normal/1.wav,Machine 1__Normal,1
Student/Machine 1/Normal/10.wav,Machine 1__Normal,10
Student/Machine 1/Normal/2.wav,Machine 1__Normal,2
Student/Machine 1/Normal/3.wav,Machine 1__Normal,3
Student/Machine 1/Normal/4.wav,Machine 1__Normal,4
Student/Machine 1/Normal/5.wav,Machine 1__Normal,5
Student/Machine 1/Normal/6.wav,Machine 1__Normal,6
Student/Machine 1/Normal/7.wav,Machine 1__Normal,7
Student/Machine 1/Normal/8.wav,Machine 1__Normal,8
Student/Machine 1/Normal/9.wav,Machine 1__Normal,9
Student/Machine 2/Abnormal/10.wav,Machine 2__Abnormal,10
Student/Machine 2/Abnormal/2.wav,Machine 2__Abnormal,2
Student/Machine 2/Abnormal/3.wav,Machine 2__Abnormal,3
Student/Machine 2/Abnormal/4.wav,Machine 2__Abnormal,4
Student/Machine 2/Abnormal/5.wav,Machine 2__Abnormal,5
Student/Machine 2/Abnormal/6.wav,Machine 2__Abnormal,6
Student/Machine 2/Abnormal/7.wav,Machine 2__Abnormal,7
Student/Machine 2/Abnormal/8.wav,Machine 2__Abnormal,8
Student/Machine 2/Abnormal/9.wav,Machine 2__Abnormal,9
Student/Machine 2/Normal/1.wav,Machine 2__Normal,1
Student/Machine 2/Normal/10.wav,Machine 2__Normal,10
Student/Machine 2/Normal/2.wav,Machine 2__Normal,2
Student/Machine 2/Normal/3.wav,Machine 2__Normal,3
Student/Machine 2/Normal/4.wav,Machine 2__Normal,4
Student/Machine 2/Normal/5.wav,Machine 2__Normal,5
Student/Machine 2/Normal/6.wav,Machine 2__Normal,6
Student/Machine 2/Normal/7.wav,Machine 2__Normal,7
Student/Machine 2/Normal/8.wav,Machine 2__Normal,8
Student/Machine 2/Normal/9.wav,Machine 2__Normal,9
Student/Machine 3/Abnormal/10.wav,Machine 3__Abnormal,10
Student/Machine 3/Abnormal/2.wav,Machine 3__Abnormal,2
Student/Machine 3/Abnormal/3.wav,Machine 3__Abnormal,3
Student/Machine 3/Abnormal/4.wav,Machine 3__Abnormal,4
Student/Machine 3/Abnormal/5.wav,Machine 3__Abnormal,5
Student/Machine 3/Abnormal/6.wav,Machine 3__Abnormal,6
Student/Machine 3/Abnormal/7.wav,Machine 3__Abnormal,7
Student/Machine 3/Abnormal/8.wav,Machine 3__Abnormal,8
Student/Machine 3/Abnormal/9.wav,Machine 3__Abnormal,9
Student/Machine 3/Normal/1.wav,Machine 3__Normal,1
Student/Machine 3/Normal/10.wav,Machine 3__Normal,10
Student/Machine 3/Normal/2.wav,Machine 3__Normal,2
Student/Machine 3/Normal/3.wav,Machine 3__Normal,3
Student/Machine 3/Normal/4.wav,Machine 3__Normal,4
Student/Machine 3/Normal/5.wav,Machine 3__Normal,5
Student/Machine 3/Normal/6.wav,Machine 3__Normal,6
Student/Machine 3/Normal/7.wav,Machine 3__Normal,7
Student/Machine 3/Normal/8.wav,Machine 3__Normal,8
Student/Machine 3/Normal/9.wav,Machine 3__Normal,9
